property_name,property_id,breadcrumbs,price,img,description,seller_name,location,property_type,bathroom,bedrooms
All type of House in city,1671254599,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad","{'amount': '21,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/k2awfjko7pxj3-IN/image;s=850x0,Get your appoitment now,Brokees,"Thondayad, Kozhikode, Kerala",Houses & Villas,3,3
മനസ്സിൽ ഇണങ്ങുന്ന ഫ്ലാറ്റിൽ നിൽക്കാം,1671138640,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad","{'amount': '24,000', 'currency': '₹'}",,കോഴിക്കോട് നഗരത്തിൽ മനസ്സിൽ തുടങ്ങുന്ന നല്ലൊരു ഫ്ലാറ്റ് കണ്ടെത്തുക വലിയ പ്രയാസം തന്നെ. എന്നാൽ ഞങ്ങൾ നിങ്ങൾക്ക് ജോലി എളുപ്പമാക്കി തരുന്നു,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,2,2
മികച്ച വീടുകൾ കുഞ്ഞു വാടക,1671368522,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad","{'amount': '20,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/isfgku2ho24i-IN/image;s=850x0,കോഴിക്കോട് നഗരത്തിൽ നിങ്ങൾക്ക് താമസിക്കുന്നതിന് വേണ്ടിയുള്ള മികച്ച വീടുകളുടെ ശ്രേണി,Brokees,"Thondayad, Kozhikode, Kerala",Houses & Villas,3,3
സ്റ്റാൻഡേർഡ് എന്നു പറഞ്ഞാൽ ഇതാണ്,1667217305,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad","{'amount': '26,000', 'currency': '₹'}",,എപ്പോഴും ഫ്ലാറ്റ് വാടകയ്ക്ക് നോക്കുമ്പോൾ നാം അനുഭവിക്കുന്ന പ്രധാന പ്രശ്നം എന്നാൽ അതിന്റെ വൃത്തി കുറവും ഇന്റീരിയർ ഇന്റെ ഭംഗി കുറവും തന്നെയാണ്.,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,3,2
"GROUND FLOOR FOR RENT,THIRUVANNUR,CALICUT",1652399976,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thiruvannur","{'amount': '11,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/yneyqriww4tu1-IN/image;s=850x0,"THREE BEDROOM ATTACHED,HALL,KITCHEN,GOOD WELL WATER,CAR SITE",REAL ESTATE AGENCY,"Thiruvannur, Kozhikode, Kerala",Houses & Villas,2,2
"FIRST  FLOOR FOR RENT,KUTHIRAVATTOM,CALICUT",1654322601,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Kuthiravattom","{'amount': '11,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/eompa2z6kmjp2-IN/image;s=850x0,"TWO BEDROOM ATTACHED,HALL,KITCHEN,KWA WATER,CAR SITE",HEAVEN REAL ESTATE AGENT,"Kuthiravattom, Kozhikode, Kerala",Apartments,2,2
"BACHELORS ALLOWED UP STAIR FOR RENT,KALLAI ,CALICUT",1652228130,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Kallai","{'amount': '12,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/hzvjd43xn2id2-IN/image;s=850x0,"TWO BEDROOM,ONE COMMON BATHROOM,HALL,KITCHEN,K.W.A WATER,CAR SITE",HEAVEN REAL ESTATE AGENT,"Kallai, Kozhikode, Kerala",Houses & Villas,1,2
"INDEPENDENT HOUSE FOR RENT,NEAR HI LITE MALL,CALICUT",1654320756,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad","{'amount': '15,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/dqyedlsepujs2-IN/image;s=850x0,"BACHELORS ALLOWED THREE BEDROOM ATTACHED,HALL,KITCHEN,GOOD WELL WATER,CAR SITE",HEAVEN REAL ESTATE AGENT,"Thondayad, Kozhikode, Kerala",Houses & Villas,2,3
3 BHK FURNISHED FLAT FOR RENT NEAER THONDAYAD,1690162400,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad","{'amount': '25,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/i24y0nne4lmy2-IN/image;s=850x0,Branded flat for rent & sale Available in Calicut,PROPERTY HUB,"Thondayad, Kozhikode, Kerala",Apartments,3,3
Furnished Flat for rent at Calicut,1696347995,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Nadakkavu","{'amount': '25,000', 'currency': '₹'}",,Looking for furnished Flat for Rent at Calicut,Big Deals,"Nadakkavu, Kozhikode, Kerala",Apartments,2,2
"FULL FURNISHED DOUBLE STORIED HOUSE FOR RENT,MIMS HOSPITAL,CALICUT",1652405539,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Govindapuram","{'amount': '25,000', 'currency': '₹'}",,"FOUR BEDROOM ATTACHED,HALL,KITCHEN,CAR SITE,LIVING ROOM,GOOD WELL WATER AND KWA WATER",HEAVEN REAL ESTATE AGENT,"Govindapuram, Kozhikode, Kerala",Houses & Villas,4,4
Luxury studio flat for rent near cyberpark thondayad bypass,1691025309,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad","{'amount': '18,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/falk2w8pilym1-IN/image;s=850x0,Luxury studio flat for rent near cyberpark thondayad bypass.,PN PROPERTIES,"Thondayad, Kozhikode, Kerala",Apartments,1,1
2BHK Fully furnished flat Calicut Town,1696896679,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Christian College","{'amount': '20,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/yd4b1kuo8rb8-IN/image;s=850x0,"Fully furnished flat near Malabar Christian College opp. Providence Junior school. Tv, Refrigerator, 1AC, Washing machine, Gas and all other facilities available. Ready to move in.",Gopika R,"Christian College, Kozhikode, Kerala",Apartments,2,2
കാലി ഫ്ലാറ്റ് കീശ കാലി ആകില്ല,1667217713,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad","{'amount': '19,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/gwat1haux0i2-IN/image;s=850x0,കേരളത്തിലെ ഏത് ജില്ലകൾ നോക്കുകയാണെങ്കിൽ ഉം കോഴിക്കോട് സിറ്റി അതിൽ കൂടുതൽ വാടക ചോദിക്കുന്ന ഒരു സിറ്റിയാണ്.,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,2,2
കുഞ്ഞു വീട് കുഞ്ഞു ഫാമിലിക്ക്,1671253018,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad","{'amount': '19,000', 'currency': '₹'}",,ചെറിയൊരു കുടുംബം ആണെങ്കിൽ പിന്നെ ചെറിയൊരു വീട് നോക്കുന്നതിനു അല്ലേ ചേട്ടാ നല്ലത്,Brokees,"Thondayad, Kozhikode, Kerala",Houses & Villas,3,3
കെങ്കേമം ഫ്ലാറ്റുകൾ നോക്കാം,1671495807,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad","{'amount': '24,000', 'currency': '₹'}",,കോഴിക്കോട് നഗരത്തിൽ നിങ്ങളുടെ ആവശ്യാനുസരണം താമസയോഗ്യമായ അനേകം വാടക ഫ്ലാറ്റുകൾ നിരത്തി നൽകാം,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,2,3
3bhk fully furnished flat for rent,1621458547,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad","{'amount': '32,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/iymkfiujq9ya1-IN/image;s=850x0,3bhk fully furnished flat for rent,FAISAL,"Thondayad, Kozhikode, Kerala",Apartments,3,3
3 BHK FURNISHED FLAT FOR RENT NEAR NADAKKAVE,1690160057,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Nadakkavu","{'amount': '25,000', 'currency': '₹'}",,Branded flat for rent & sale available in Calicut,PROPERTY HUB,"Nadakkavu, Kozhikode, Kerala",Apartments,3,3
Flat 1 BHK Landmark World - Direct Owner,1696395400,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad","{'amount': '20,000', 'currency': '₹'}",,"Direct from owner and no agent charges applies. Looking for decent tenant, Executive bachelor, Executive Students or Couple",Raees,"Thondayad, Kozhikode, Kerala",Apartments,1,1
"2BHK RESIDENTIAL FLAT FOR RENT @ CHEROOTY ROAD, CALICUT",1695242970,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Cherooty Road","{'amount': '27,000', 'currency': '₹'}",,THOMAS ASSOCIATES REALTORS CALICUT,THOMAS ASSOCIATES REALTORS,"Cherooty Road, Kozhikode, Kerala",Apartments,2,2
3 bedroom flat  furnished hi lite metromax,1696917539,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad","{'amount': '26,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/llhsm7bo3ui91-IN/image;s=850x0,3 bedroom flat for rent hi lite metromax,Jose,"Thondayad, Kozhikode, Kerala",Apartments,4,3
Fully furnished 2 BHK Luxury Apartment,1696889913,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Pokkunnu","{'amount': '27,500', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/x4jfku593486-IN/image;s=850x0,Fully furnished 2 BHK Luxury Apartment with every amenities in the heart of calicut city.,Navaneeth M,"Pokkunnu, Kozhikode, Kerala",Apartments,2,2
2 BHK FLAT @ Thondayad,1696927122,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad","{'amount': '10,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/ho77e4bmkb633-IN/image;s=850x0,2bhk flat at thondayad. 2 bedrooms(1 attached)..2 bathrooms...1 hall ...1 kitchen,Sasi,"Thondayad, Kozhikode, Kerala",Apartments,2,2
2 BHK FURNISHED FLAT FOR RENT NEAR THONDAYAD,1689141583,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad","{'amount': '22,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/lencwzdatz5a1-IN/image;s=850x0,Branded flat for rent & sale Available in Calicut,PROPERTY HUB,"Thondayad, Kozhikode, Kerala",Apartments,2,2
2BHK Flat for rent,1696923543,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Olavanna,For Rent: Houses & Apartments in Mankavu Chalil","{'amount': '20,000', 'currency': '₹'}",,"Looking for good family. 2bhk furnished flat at makanvu . Easy access to Mims hospital , railway station, airport , hilite mall .located in town. Good surroundings.",Fahad,"Mankavu Chalil, Olavanna, Kerala",Builder Floors,2,2
LEASE HOUSE IN KOVOOR RS 6.5 LKH 2 BED ATACHED UP STAIR CAR PARKING,1696934119,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Chevayoor","{'amount': '6,50,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/y3uefv5fsqi82-IN/image;s=850x0,LEASE HOUSE IN KOVOOR RS 6.5 LKH 2 BED ATACHED UP STAIR CAR PARKING contact 9️⃣4️⃣9️⃣5️⃣5️⃣4️⃣9️⃣9️⃣9️⃣9️⃣,JTT GROUP,"Chevayoor, Kozhikode, Kerala",Houses & Villas,2,2
ചെറിയ വീട് നോക്കാം,1687110246,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad","{'amount': '17,000', 'currency': '₹'}",,കോഴിക്കോട് ടൗണിൽ സ്ഥിതി ചെയ്യുന്ന ചെറിയ വാടകവീടുകൾ നോക്കാം.,Brokees,"Thondayad, Kozhikode, Kerala",Houses & Villas,2,3
2 BHK BRANDED UNFURNISHED FLAT FOR RENT NEAR POKUNNU,1695329684,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Pokkunnu","{'amount': '25,500', 'currency': '₹'}",,Branded flat for rent & sale available in Calicut,PROPERTY HUB,"Pokkunnu, Kozhikode, Kerala",Apartments,2,2
2 BHK BRANDED FULLY FURNISHED FLAT FOR RENT NEAR THONDAYAD,1695330704,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad","{'amount': '17,500', 'currency': '₹'}",,Branded flat for rent & sale available in Calicut,PROPERTY HUB,"Thondayad, Kozhikode, Kerala",Apartments,2,2
Recently renovated 2 BHK at East Hill - 1st Floor,1690253971,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in East Hill","{'amount': '21,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/kb9ha3pvmlrd2-IN/image;s=850x0,Recently renovated 2 BHK Independent 1st Floor house with car parking.,Jayaram,"East Hill, Kozhikode, Kerala",Houses & Villas,2,2
2 BHK FURNISHED FLAT FOR RENT NEAR ERANJIPALAM,1695864778,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Eranjipalam","{'amount': '20,000', 'currency': '₹'}",,Branded flat for rent & sale available in Calicut,PROPERTY HUB,"Eranjipalam, Kozhikode, Kerala",Apartments,2,2
2 BHK FURNISHED FLAT FOR RENT NEAR KALLAl,1695331529,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Kallai","{'amount': '22,000', 'currency': '₹'}",,Branded flat for rent & sale available in Calicut,PROPERTY HUB,"Kallai, Kozhikode, Kerala",Apartments,2,2
1 BHK SEMI FURNISHED FLAT FOR RENT NEAR POTTAMMAL,1691674895,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Pottammal","{'amount': '15,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/o62ifd92r8ep3-IN/image;s=850x0,Branded flat for rent & sale available in Calicut,PROPERTY HUB,"Pottammal, Kozhikode, Kerala",Apartments,1,1
"Groundfloor property 2bhk, sitout, work area, 150 meter from bus stop",1692992072,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Athanikkal","{'amount': '10,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/fvudnay16rs13-IN/image;s=850x0,"Groundfloor property 2bhk, sitout, work area, 150 meter from bus stop, 1 bedroom has attached european toilet. Common 1european and 1 indian toilet. Floor is tiled. Well and corporation water available. Hatch back car access with ample parking.  No water logging during rain and no water scarcity during summer.",Lilly,"Athanikkal, Kozhikode, Kerala",Houses & Villas,3,2
3BHK SEMI FURNISHED FLAT FOR RENT @ CALICUT BEACH,1695449240,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Calicut Beach","{'amount': '30,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/02kffvazo2ds-IN/image;s=850x0,THOMAS ASSOCIATES REALTORS CALICUT,THOMAS ASSOCIATES REALTORS,"Calicut Beach, Kozhikode, Kerala",Apartments,3,3
House for rent ( preferably girls )max 4 ppl,1696916684,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Puthiyara","{'amount': '14,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/10cocfn5new13-IN/image;s=850x0,"1st floor of the House, 2 min walk to main road ( arayidathupalam ), near to all the major city hubs .",Annet Portia,"Puthiyara, Kozhikode, Kerala",Houses & Villas,1,1
Furnished 3bhk apartment for rent in thondayad at 29000 rent,1695090912,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad","{'amount': '29,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/5gfpdtr2v13d-IN/image;s=850x0,"Having 2 units of furnished 3bhk apartments in thondayad,having rent of 29000 and 33000.",Pathfinder,"Thondayad, Kozhikode, Kerala",Apartments,0,3
3BHK HOUSE UPPER PORTION FOR RENT,1692358675,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Kuthiravattom","{'amount': '18,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/7cx94jpl2ufo3-IN/image;s=850x0,3 BHK WITH BATHROOM ATTACHED,Manoj Kumar N E,"Kuthiravattom, Kozhikode, Kerala",Houses & Villas,3,3
3 bhk furnished flat for rent at eranjipalam.,1696933724,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Eranjipalam","{'amount': '35,000', 'currency': '₹'}",,3 bhk furnished flat for rent at eranjipalam.,Endless properties,"Eranjipalam, Kozhikode, Kerala",Apartments,2,3
,,,"{'amount': '3,500', 'currency': '₹'}",,,,,,0,0
